datetime,open,high,low,close
2025-09-25 04:30:00,3732.67,3738.32,3731.01,3731.16
2025-09-25 05:00:00,3731.15,3731.15,3720.78,3726.06
2025-09-25 05:30:00,3726.13,3743.0,3726.13,3740.47
2025-09-25 06:00:00,3740.47,3743.33,3740.03,3741.47
2025-09-25 06:30:00,3741.47,3754.36,3739.35,3747.29
2025-09-25 07:00:00,3747.29,3748.82,3745.72,3748.78
2025-09-25 07:30:00,3748.78,3748.82,3746.18,3746.7
2025-09-25 08:00:00,3746.7,3755.35,3745.75,3754.75
2025-09-25 08:30:00,3754.75,3754.75,3749.69,3750.49
2025-09-25 09:00:00,3750.49,3751.44,3748.32,3750.63
2025-09-25 09:30:00,3750.72,3757.19,3749.22,3754.88
2025-09-25 10:00:00,3754.88,3760.76,3753.52,3760.15
2025-09-25 10:30:00,3760.16,3761.0,3757.18,3759.19
2025-09-25 11:00:00,3759.2,3760.35,3740.74,3749.3
2025-09-25 11:30:00,3749.3,3753.04,3739.0,3741.02
2025-09-25 12:00:00,3741.02,3741.02,3735.0,3740.97
2025-09-25 12:30:00,3741.27,3748.7,3741.27,3744.52
2025-09-25 13:00:00,3744.52,3744.52,3739.09,3741.05
2025-09-25 13:30:00,3741.04,3744.52,3740.95,3744.0
2025-09-25 14:00:00,3744.01,3744.01,3738.69,3741.16
2025-09-25 14:30:00,3741.16,3748.0,3740.73,3746.57
2025-09-25 15:00:00,3746.17,3747.14,3743.35,3745.45
2025-09-25 15:30:00,3745.46,3750.38,3745.45,3749.19
2025-09-25 16:00:00,3749.19,3755.0,3748.9,3754.49
2025-09-25 16:30:00,3754.49,3755.0,3750.62,3752.05
2025-09-25 17:00:00,3752.04,3755.92,3750.9,3755.56
2025-09-25 17:30:00,3755.56,3764.15,3753.75,3762.22
2025-09-25 18:00:00,3762.21,3773.55,3762.05,3766.22
2025-09-25 18:30:00,3766.21,3767.04,3756.0,3763.67
2025-09-25 19:00:00,3763.56,3763.58,3757.2,3757.2
2025-09-25 19:30:00,3757.2,3766.68,3756.83,3760.84
2025-09-25 20:00:00,3761.02,3765.14,3760.77,3761.45
2025-09-25 20:30:00,3761.46,3765.48,3761.29,3761.89
2025-09-25 21:00:00,3761.89,3761.9,3747.52,3756.3
2025-09-25 21:30:00,3756.29,3761.44,3755.33,3761.44
2025-09-25 22:00:00,3761.52,3765.07,3757.2,3762.83
2025-09-25 22:30:00,3762.83,3762.83,3739.96,3747.7
2025-09-25 23:00:00,3747.71,3754.3,3742.67,3751.34
2025-09-25 23:30:00,3751.8,3752.0,3730.0,3742.5
2025-09-26 00:00:00,3742.5,3744.6,3732.42,3741.55
2025-09-26 00:30:00,3741.54,3741.54,3732.34,3739.21
